Questions,Subject,Question,option_1,option_2,option_3,option_4,correct_answer,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic
"You measure the capacitor and inductor voltages in a driven RLC circuit, and find 10V for the rms capacitor voltage and \( 15 V \) for the \( r m s \) inductor voltage.
A \( \cdot \omega=\omega_{r e s} \)
В. \( \omega<\omega_{r e s} \)
\( \mathbf{c} \cdot \omega>\omega_{r e s} \)
D. can't be said",Physics,,,,,,,Electricity,Hard,1068,3,22,166,Easy,electricity
"Five cells each of internal resistance
\( 0.2 \Omega \) and \( \mathrm{emf} 2 V \) are connected in
series with a resistance of \( 4 \Omega \).The
current through the external resistance
is
A. \( 4 A \)
в. \( 2 A \)
\( c \cdot 1 A \)
D. \( 0.5 A \)",Physics,,,,,,,Electricity,Hard,1080,9,50,194,Medium,optics
"One end of a horizongal thick copper wire of length \( 2 L \) and radius \( 2 R \) is welded to an end of another horizontal
thin copper wire of length \( L \) and radius
\( R \) When the arrangement is stretched by applying forces at two ends, the ratio of the elongation in the thin wire to that in the thick wire is then
A . 0.25
B. 0.50
\( c .2 .00 \)
D. 4.00",Physics,,,,,,,Mechanics,Medium,1089,7,74,32,Hard,kinematics
"A chord attached to a vibrating form divides it into 6 loops, when its tension
is \( 36 N . \) The tension at which it will
vibrate in 4 loops is
A \( .24 N \)
в. \( 36 N \)
\( c \cdot 64 N \)
D. \( 81 N \)",Physics,,,,,,,Other,Unknown,1079,3,48,280,Medium,electricity
"For the conversion of liquid into a solid:
A. orderliness decreases and entropy decreases
B. orderliness increases and entropy increases
c. both are not related
D. orderliness increases and entropy decreases",Physics,For the conversion of liquid into a solid:,orderliness decreases and entropy decreases,orderliness increases and entropy increases,both are not related,orderliness increases and entropy decreases,,Thermodynamics,Medium,1027,2,20,270,Easy,thermodynamics
"In the picture shown below, the man is
A. Applying no force on the stool
B. Applying pressure on the stool
C. Applying force on the stool
D. Both \( (B) \&(C) \)",Physics,"In the picture shown below, the man is",Applying no force on the stool,Applying pressure on the stool,Applying force on the stool,Both \( (B) \&(C) \),,Mechanics,Medium,1023,8,74,176,Hard,kinematics
"What is the mass defect and the
binding energy of \( _{27} C o^{59} \) which has a
nucleus of mass of \( 58.933 u ? \)
\( \left(\boldsymbol{m}_{\boldsymbol{p}}=\mathbf{1 . 0 0 7 8 u}, \boldsymbol{m}_{\boldsymbol{n}}=\mathbf{1 . 0 0 8 7 u}\right) \)
B. 617.914 MeV
c. 17.914 Mev
D. 717.914 Mev",Physics,,,,,,,Mechanics,Medium,1006,2,75,103,Hard,kinematics
"A diver reaches a depth of 300 m. The pressure (in atm) exerted by water at
that depth is \( 2.94 \times 10^{x} . \) (in Pascal).
Take \( g=9.8 m / s^{2} . \) Find \( x \)",Physics,,,,,,,Other,Unknown,1096,10,86,284,Hard,thermodynamics
"That 'Entropy of a system increases in all
spontaneous processes' is known as
A. 1 st law of Thermodynamics
B. 2nd law of Thermodynamics
C. Zeroth law of Thermodynamics
D. 3rd law of Thermodynamics",Physics,"That 'Entropy of a system increases in all
spontaneous processes' is known as",1 st law of Thermodynamics,2nd law of Thermodynamics,Zeroth law of Thermodynamics,3rd law of Thermodynamics,,Thermodynamics,Medium,1025,10,36,189,Easy,thermodynamics
"Light travel in straight lines.
A. True
B. False",Physics,,,,,,,Optics,Easy,1050,8,94,180,Hard,thermodynamics
"8
cylinder to be negligible, find the time dependence of the kinetic energy of the
whole system.
\( ^{\mathbf{A}} \cdot_{T}=\frac{m g^{2} t^{2}}{2\left(1+\frac{2 M}{m}\right)} \)
\( ^{\mathbf{B}} \cdot_{T}=\frac{m g^{2} t^{2}}{2\left(1+\frac{M}{2 m}\right)} \)
\( ^{\mathbf{C}} T=\frac{m g^{2} t^{2}}{2\left(1+\frac{M}{m}\right)} \)
\( ^{\mathrm{D}} T=\frac{2 m g^{2} t^{2}}{2\left(1+\frac{M}{2 m}\right)} \)",Physics,,,,,,,Mechanics,Medium,1077,8,98,57,Hard,thermodynamics
"A magnet is suspended in such a way that it oscillate it horizontal plane.
It make 20 oscillation per minute at a
place were dip angle is 30 and 15 oscillation per minute t a place were dip angle is \( 60 . \) the ratio of total magnetic field at the two place is
A . 15 oscillations/minute
в. \( 1.7 \sqrt{3} \)
c. 18 oscillations/minute
D. zero",Physics,,,,,,,Other,Unknown,1027,7,25,143,Easy,other
"A step down transformer reduces \( 220 V \)
to \( 110 V . \) The primary and secondary
current are 5 and 9 amperes
respectively. The efficiency of transformer is
A . \( 20 \% \)
B . 4\%
c. \( 90 \% \)
D. 100\%",Physics,,,,,,,Electricity,Hard,1002,2,44,116,Medium,mechanics
State Kirchhoff's voltage law.,Physics,,,,,,,Electricity,Hard,1032,1,21,39,Easy,electricity
"Our body temperature cannot fall below:
\( \mathbf{A} \cdot 37^{\circ} C \)
B \( .35^{\circ} \mathrm{C} \)
\( \mathbf{c} \cdot 40^{\circ} \mathrm{C} \)
D. \( 42^{\circ} \mathrm{C} \)",Physics,,,,,,,Thermodynamics,Medium,1070,1,50,116,Medium,optics
"A parallel beam of light is incident on a
glass prism in the shape of a quarter
cylinder of radius \( R=0.05 m \) and
refractive index \( n=1.5 \) placed on a
horizontal table as shown in the figure.
Beyond the cylinder, a patch of light is
found whose nearest distance \( x \) from
the cylinder is
A \( \cdot(3 \sqrt{3}-4) \times 10^{-2} m \)
B \( \cdot(3 \sqrt{2}-2) \times 10^{-2} m \)
\( \mathbf{c} \cdot(3 \sqrt{5}-5) \times 10^{-2} m \)
D. \( (3 \sqrt{2}-3) \times 10^{-2} m \)",Physics,,,,,,,Kinematics,Easy,1015,6,35,208,Easy,kinematics
"A uniformly wound solenoidal coil of
self-inductance \( 1.8 \times 10^{-4} \mathrm{H} \) and
resistance \( 6 \Omega \) is cut into two identical
coils. They are now connected in parallel across a 12 volt battery of negligible resistance. Find the current drawn by the circuit in amp.",Physics,,,,,,,Kinematics,Easy,1097,3,96,252,Hard,kinematics
"The refractive index of water with
respect to air is \( _{a} \mu_{w} \) and of glass with respect to air is \( _{a} \mu_{\mathrm{g} \cdot} \) So, \( \frac{a \mu_{g}}{a \mu_{w}} \) should
express:
A. refractive index of glass with respect to water
B. refractive index of water with respect to glass
C. refractive index of air
D. none of these",Physics,"The refractive index of water with
respect to air is \( _{a} \mu_{w} \) and of glass with respect to air is \( _{a} \mu_{\mathrm{g} \cdot} \) So, \( \frac{a \mu_{g}}{a \mu_{w}} \) should
express:",refractive index of glass with respect to water,refractive index of water with respect to glass,refractive index of air,none of these,,Other,Unknown,1043,2,79,167,Hard,kinematics
"\( A, B \) and \( C \) are the three forces each of
magnitude \( 4 N \) acting in the plane of
paper as shown in Fig. The point \( O \) lies
in the same plane. Which force has the
greatest moment about \( O \) ?
A . \( A \)
в. \( B \)
\( c . c \)
D. all of the above",Physics,,,,,,,Mechanics,Medium,1010,1,73,280,Hard,thermodynamics
"Best moderator for neutron is
A. berillium oxide
B. pure water
c. heavy water
D. graphite",Physics,Best moderator for neutron is,berillium oxide,pure water,heavy water,graphite,,Kinematics,Easy,1062,8,99,149,Hard,kinematics
"The radius \( (r), \) length \( (l) \) and resistance
\( (R) \) of a thin wire are \( (0.20 \pm 0.01) \mathrm{cm} \)
\( (800 \pm 0.1) \mathrm{cm}, \) and \( (301 \pm 1) \Omega \)
respectively. The error in the specific resistance is :
A . 10.34\%
B . 45.4\%
c. 26\%
D. 27.5\%",Physics,,,,,,,Electricity,Hard,1013,9,86,169,Hard,thermodynamics
"A bullet of mass \( 20 g \) has an initia
speed of \( 1 m s^{-1} \),just before it starts penetrating a mud wall of thickness \( 20 c m . \) if the wall offers a mean
resistance of \( 2.5 \times 10^{-2} N, \) the speed of
the bullet after emerging from the other
side of the wall is close to :
A \( \cdot 0.4 m s^{-1} \)
В. \( 0.1 m s^{-1} \)
\( \mathbf{c} \cdot 0.3 m s^{-1} \)
D. \( 0.7 m s^{-1} \)",Physics,,,,,,,Mechanics,Medium,1007,8,21,150,Easy,mechanics
"Mass \( m_{1} \) strikes \( m_{2} \) which is at rest.
The ratio of masses for which they will
collide again is : (Collisions between
ball and wall are elastic. Coefficient of
restitution between \( m_{1} \) and \( m_{2} \) is \( e \)
and all the surfaces are smooth
A \( \cdot \frac{e}{2+e} \)
B. \( \frac{2 e}{2+e} \)
\( c \)
\( D \)",Physics,,,,,,,Kinematics,Easy,1026,9,29,243,Easy,kinematics
"In the metre bridge experiment of resistances, the known and unknown resistances are inter-changed. The error so removed is:
A. end correction
B. index error
c. due to temperature effect
D. random error",Physics,,,,,,,Thermodynamics,Medium,1040,7,21,170,Easy,thermodynamics
"An object performing S.H.M. with mass of \( 0.5 k g, \) force constant \( 10 N / m \) and amplitude \( 3 c m . \) What is the speed at \( x=2 ? \)",Physics,,,,,,,Mechanics,Medium,1007,1,79,196,Hard,kinematics
"An astronaut whose mass is \( 84 \mathrm{kg} \) on earth will have a mass of approximately
\( 14 \mathrm{kg} \) on the moon.
A. True
B. False",Physics,,,,,,,Mechanics,Medium,1026,4,92,34,Hard,kinematics
"The electron in a hydrogen atom makes
a transition \( n_{1} \rightarrow n_{2} \) whose \( n_{1} \) and \( n_{2} \)
are the principal quantum numbers of the two states. Assume the Bohr model
to be valid. The frequency of orbital
motion of the electron in the initial
state is \( 1 / 27 \) of that in the final state.
The possible value of \( n_{1} \) and \( n_{2} \) are
\( \mathbf{A} \cdot n_{1}=4, n_{2}=2 \)
B \( . n_{1}=3, n_{2}=1 \)
\( \mathbf{c} \cdot n_{1}=8, n_{2}=1 \)
\( \mathbf{D} \cdot n_{1}=6, n_{2}=3 \)",Physics,,,,,,,Kinematics,Easy,1042,5,98,64,Hard,kinematics
"Which of the following is/are contact forces
A. Normal force
B. Tension force
c. Friction force
D. All",Physics,Which of the following is/are contact forces,Normal force,Tension force,Friction force,All,,Mechanics,Medium,1041,9,55,31,Medium,optics
"Which branch study about remains of plant life?
A. Paleontology
B. Palaeobotany
c. Eugenics
D. Palynology",Physics,Which branch study about remains of plant life?,Paleontology,Palaeobotany,Eugenics,Palynology,,Other,Unknown,1003,1,81,247,Hard,thermodynamics
"In the system shown in figure \( \boldsymbol{m}_{\boldsymbol{A}}= \)
\( 4 m, m_{B}=3 m \) and \( m_{C}=8 m . \) Friction
is absent everywhere. String is light and in-extensible. If the system is released
from rest find the acceleration of block
\( B \)
A . \( \frac{g}{\text { (leftward) }} \)
B. \( \frac{g}{2} \) (leftward)
C \( \cdot \frac{g}{6} \) (rightward)
D. \( \frac{g}{4} \) (rightward)",Physics,,,,,,,Kinematics,Easy,1072,10,87,197,Hard,kinematics
"Which of the following is easier to hold
with a greasy palm?
A . a glass tumbler
B. a polished crockery piece
c. a metal container
D. an earthen pot",Physics,,,,,,,Other,Unknown,1047,7,56,102,Medium,electricity
"When spheres are raised to the same
temperature
A .1: 32: 243
B . 1: 8: 27
c. 1: 16: 128
D. 1: 4: 9",Physics,,,,,,,Thermodynamics,Medium,1055,2,68,61,Medium,mechanics
"Fill the blank.
Voltmeter is always connected in \( \ldots \) with the device.
A. series
B. parallel
c. series and parallel both
D. the cell",Physics,"Fill the blank.
Voltmeter is always connected in \( \ldots \) with the device.",series,parallel,series and parallel both,the cell,,Other,Unknown,1018,9,45,298,Medium,mechanics
"Lightning conductors are used to save the building from earthquakes.
A. True
B. False",Physics,,,,,,,Optics,Easy,1016,2,35,283,Easy,optics
"Consider a thin square sheet of side \( \boldsymbol{L} \)
and thickness \( t, \) made of a material of
resistivity \( \rho . \) The resistance between
two opposite faces, shown by the shaded areas in the figure is
A. directly proportional to L
B. directly proportional to t
c. independent of
D. independent of t",Physics,"Consider a thin square sheet of side \( \boldsymbol{L} \)
and thickness \( t, \) made of a material of
resistivity \( \rho . \) The resistance between
two opposite faces, shown by the shaded areas in the figure is",directly proportional to L,directly proportional to t,independent of,independent of t,,Electricity,Hard,1072,10,64,298,Medium,optics
"Two particles are moving along a straight line as shown. The velocity of approach between \( A \) and \( B \) is
A \( \cdot V_{A}+V_{B} \)
в. \( \left|V_{A}-V_{B}\right| \)
c. \( V_{A}-V_{B} \)
D. \( V_{B}-V_{A} \)",Physics,,,,,,,Kinematics,Easy,1013,7,81,294,Hard,thermodynamics
"When light is reflected from the a
spherical or curved surface:
A. the laws of reflections are followed
B. the laws of reflections are not followed
C. the laws of reflections may or may not be followed
D. one of the laws is followed, the other is not",Physics,"When light is reflected from the a
spherical or curved surface:",the laws of reflections are followed,the laws of reflections are not followed,the laws of reflections may or may not be followed,"one of the laws is followed, the other is not",,Optics,Easy,1061,4,48,254,Medium,electricity
"Parto of the uranium decay series is shown
\( 92^{2}-90 T h^{234} \rightarrow 91 P a^{234} \rightarrow \)
\( 92 U^{234} \rightarrow_{90} T h^{230} \rightarrow_{88} R a^{226} \)
How many pairs of isotopes are there in the above series:
A \( . \)
B. 2
\( c \cdot 3 \)
D.",Physics,,,,,,,Modern Physics,Hard,1085,1,76,81,Hard,thermodynamics
"toppr \( t \)
Q Type your question
supply \( ): \)
\( A \)
B.
\( c \)
\( D \)",Physics,,,,,,,Other,Unknown,1046,5,89,56,Hard,thermodynamics
"Cassiopeia appears in hemisphere.
A. northern
B. southern
c. eastern
D. western",Physics,Cassiopeia appears in hemisphere.,northern,southern,eastern,western,,Other,Unknown,1050,5,66,270,Medium,mechanics
"Heat flow can occur due to which of the
following situation
A. Pressure difference
B. Temperature difference
c. Density difference
D. None of these",Physics,"Heat flow can occur due to which of the
following situation",Pressure difference,Temperature difference,Density difference,None of these,,Thermodynamics,Medium,1011,8,54,144,Medium,optics
"In a series LCR circuit with an AC
source, \( \boldsymbol{R}=\mathbf{3 0 0} \boldsymbol{\Omega}, \boldsymbol{C}=\mathbf{2 0} \boldsymbol{\mu} \boldsymbol{F}, \boldsymbol{L}= \)
10 henry \( \epsilon_{\text {max }}=50 V \) and \( v= \)
\( \mathbf{5 0} / \boldsymbol{\pi} \boldsymbol{H z} . \) Find
(a) the \( r m s \) current in the circuit.
(b) the \( r m s \) potential differences
across the capacitor, the resistor and the inductor, Note that the sum of the
rms potential difference across the
three elements is greater than the \( r m s \) voltage of the source.",Physics,,,,,,,Electricity,Hard,1033,1,58,188,Medium,mechanics
"A diatomic molecule is made of two
masses \( m_{1} \) and \( m_{2} \) which are
separated by a distance \( r . \) If we
calculate its rotational energy by applying Bohr's rule of angular momentum,its energy will be given by
\( n \) is an integer)
A \( \cdot \frac{\left(m_{1}+m_{2}\right)^{2} n^{2} h^{2}}{2 m_{1}^{2} m_{2}^{2} r^{2}} \)
В \( \cdot \frac{n^{2} h^{2}}{2\left(m_{1}+m_{2}\right) r^{2}} \)
c. \( \frac{2 n^{2} h^{2}}{\left(m_{1}+m_{2}\right) r^{2}} \)
D. \( \frac{\left(m_{1}+m_{2}\right) n^{2} h^{2}}{2 m_{1} m_{2} r^{2}} \)",Physics,,,,,,,Mechanics,Medium,1083,8,81,67,Hard,kinematics
"Two cars are travelling towards each other on a straight road at velocities \( 15 m / s \) and \( 16 m / s \) respectively. When
they are \( 150 \mathrm{m} \) apart, both the drivers
apply the brakes and the cars
decelerate at \( 3 m / s^{2} \) and \( 4 m / s^{2} \) until they stop. Separation between the cars
when they come to rest is :
\( \mathbf{A} \cdot 86.5 m \)
в. \( 89.5 m \)
c. \( 85.5 m \)
D. \( 80.5 m \)",Physics,,,,,,,Kinematics,Easy,1035,10,40,104,Medium,mechanics
"A body moves with a velocity of \( 36 \mathrm{km} \)
\( \boldsymbol{h}^{-1} . \) What is the value of the velocity in
\( m s^{-1} ? \)",Physics,,,,,,,Kinematics,Easy,1088,7,97,122,Hard,kinematics
"OABC is a current carrying square loop
an electron is projected from the centre
of loop along its diagonal \( A C \) as shown.
Unit vector in the direction of initial
acceleration will be
\( A \cdot \hat{k} \)
B. \( -\left(\frac{\hat{i}+\hat{j}}{\sqrt{2}}\right) \)
\( c .-\hat{k} \)
\( \frac{\hat{i}+\hat{j}}{\sqrt{2}} \)",Physics,,,,,,,Kinematics,Easy,1073,9,33,256,Easy,kinematics
"An equilateral prism deviates a ray
through \( 45^{\circ} \) for the two angles of
incidence differing by \( 20^{\circ} . \) The angle of incidence is
A . \( 62.5^{\circ} \)
в. \( 42.5^{\circ} \)
c. Both are correct
D. Both are wrong",Physics,,,,,,,Other,Unknown,1009,10,89,40,Hard,thermodynamics
"The half life period of \( N^{13} \) is 10.1 minute. Its mean life time is :
A. 5.05 minutes
B. 20.2 minutes
c. \( \frac{10.1}{0.6931} \) minutes
D. Infinity",Physics,The half life period of \( N^{13} \) is 10.1 minute. Its mean life time is :,5.05 minutes,20.2 minutes,\( \frac{10.1}{0.6931} \) minutes,Infinity,,Other,Unknown,1008,6,55,35,Medium,mechanics
"Real Image is always erect.
Is the above statement True or False?
A. True
B. False",Physics,,,,,,,Optics,Easy,1027,3,63,67,Medium,optics
"The first diffraction minima due to a
single slit diffraction is at \( \theta=30^{\circ} \) for a
light of wavelength 5000 A. The width of the slit is:
\( \mathbf{A} \cdot 5 \times 10^{-5} \mathrm{cm} \)
В. \( 10 \times 10^{-5} \mathrm{cm} \)
c. \( 2.5 \times 10^{-5} \mathrm{cm} \)
D. \( 1.25 \times 10^{-5} \mathrm{cm} \)",Physics,,,,,,,Optics,Easy,1085,4,41,218,Medium,mechanics
"Assertion: At high temperature, a ferromagnet becomes a paramagnet. Reason: The ferromagnetic property depends on temperature
A. If both assertion and reason are true and reason is the correct explanation of assertion.
B. If both assertion and reason are true and reason is not the correct explanation of assertion.
c. If assertion is true but reason is false.
D. If both assertion and reason are false",Physics,"Assertion: At high temperature, a ferromagnet becomes a paramagnet. Reason: The ferromagnetic property depends on temperature",If both assertion and reason are true and reason is the correct explanation of assertion.,If both assertion and reason are true and reason is not the correct explanation of assertion.,If assertion is true but reason is false.,If both assertion and reason are false,,Thermodynamics,Medium,1084,4,66,35,Medium,optics
"The electrical conductivity of a semiconductor increases when
electromagnetic radiation of wavelength shorter than 2480 nm is incident on it. The forbidden band
energy for the semiconductor in \( e V \) is
A . 0.5
B. 0.9
\( c .0 .7 \)
D. 1.",Physics,,,,,,,Mechanics,Medium,1095,6,71,263,Hard,kinematics
"Red and blue beams of light is incident
on a prism as shown in the figure.
Which of the following statements is
true?
A. The blue light bends more than the red light as the blue light has a longer wavelength.
B. The red light bends more than the blue light as the red light has a longer wavelength.
C. The blue light bends more than the red light as the blue light has a shorter wavelength.
D. The red light bends more than the blue light as the red light has a shorter wavelength.
E. The red and blue lights bend by the same amount as all colors of light refract equally.",Physics,"Red and blue beams of light is incident
on a prism as shown in the figure.
Which of the following statements is
true?",The blue light bends more than the red light as the blue light has a longer wavelength.,The red light bends more than the blue light as the red light has a longer wavelength.,The blue light bends more than the red light as the blue light has a shorter wavelength.,"The red light bends more than the blue light as the red light has a shorter wavelength.
E. The red and blue lights bend by the same amount as all colors of light refract equally.",,Optics,Easy,1050,10,97,290,Hard,kinematics
"A car of mass \( m \) is taking a circular
turn of radius ' \( r^{\prime} \) on a fictional level road
with a speed \( v . \) In order that the car
does not skid
A \( \cdot \frac{m v^{2}}{r} \geq \mu m g \)
B . \( \frac{m v^{2}}{r} \leq \mu m g \)
c. \( \frac{m v^{2}}{r}=\mu m g \)
D. \( \frac{v}{r}=\mu m g \)",Physics,,,,,,,Mechanics,Medium,1044,6,89,273,Hard,kinematics
"A very long cylindrical wire of radius \( \mathrm{R} \)
carries a current \( \boldsymbol{I}_{\mathbf{0}} \) uniformly
distributed across the cross-section of
the wire, calculate the magnetic flux
through a rectangle that has one side of length w s running down the centre of the wire and another side of length \( R \),
shown in figure
A \( \cdot \frac{\mu_{0} I_{0} \times w R}{4 \pi} \)
B. \( \frac{\mu_{0} I_{0} w}{4 \pi} \)
с. \( \frac{\mu_{0} I_{0} R}{4 \pi w} \)
D. None of these",Physics,,,,,,,Kinematics,Easy,1099,4,37,63,Easy,kinematics
"The equivalent resistance between \( A \)
and B is:
A \( \frac{8 R}{5} \)
в. \( \frac{5 R}{8} \)
\( c \cdot \frac{3 R}{8} \)
D. \( \frac{7 R}{8} \)",Physics,,,,,,,Electricity,Hard,1059,5,97,255,Hard,thermodynamics
"In a practical unit if the unit of mass
becomes double and that of u it of time
becomes half, then 8 joules will equal to unit of work
\( A \cdot 8 \)
B. 4
\( c \)
D. 10",Physics,,,,,,,Mechanics,Medium,1048,3,44,275,Medium,electricity
"If the position vector of the vertices of a triangle are \( \hat{\boldsymbol{i}}-\hat{\boldsymbol{j}}+\boldsymbol{2} \hat{\boldsymbol{k}} ; \boldsymbol{2} \hat{\boldsymbol{i}}+\hat{\boldsymbol{j}}+\hat{\boldsymbol{k}} \boldsymbol{\&} \)
\( \mathbf{3} \hat{\mathbf{i}}-\hat{\boldsymbol{j}}+\mathbf{2} \hat{\boldsymbol{k}}, \) then find the area of the
triangle.
A. \( \sqrt{5} m^{2} \)
B. \( 5 m^{2} \)
\( c \cdot 25 m^{2} \)
D. \( 2 m^{2} \)",Physics,,,,,,,Other,Unknown,1003,9,77,208,Hard,thermodynamics
"Consider the situation shown in the
figure. The capacitor A has a charge q on it whereas \( \mathrm{B} \) is uncharged. Find the
charge appearing on the capacitor \( \mathrm{B} \) a long time after the switch is closed
A. zero
B. \( q / 2 \)
\( c \cdot q \)
D. \( 2 q \)",Physics,"Consider the situation shown in the
figure. The capacitor A has a charge q on it whereas \( \mathrm{B} \) is uncharged. Find the
charge appearing on the capacitor \( \mathrm{B} \) a long time after the switch is closed","Find the
charge appearing on the capacitor \( \mathrm{B} \) a long time after the switch is closed",zero,"\( q / 2 \)
\( c \cdot q \)",\( 2 q \),,Electricity,Hard,1068,10,81,221,Hard,kinematics
"A ray of light travelling in a transparent medium falls on a surface separating the medium from air at an angle of
incidence \( 45^{\circ} \) and undergoes total
internal reflection. If \( \mu \) is the refractive
index of medium the possible values of
\( \mu \) are
This question has multiple correct options
A \( . \mu=1.3 \)
в. \( \mu=1.4 \)
c. \( \mu=1.5 \)
D. \( \mu=1.6 \)",Physics,,,,,,,Optics,Easy,1027,1,74,285,Hard,thermodynamics
"The uniform disc shown in the figure
has a moment of inertia of \( 0.6 k g m^{2} \)
around the axis that passes through 0
and is perpendicular to the plane of the
page. If a segment is cut out from
the disc as shown, the moment of inertia of the remaining disc is \( \frac{1}{x} k g m^{2} \)
Find \( x \)",Physics,,,,,,,Kinematics,Easy,1032,1,30,199,Easy,kinematics
"When a sound is reflected from a
distinct object, an echo is produced. Let the distance between the reflecting surface and the source of sound
production remains the same. Do you hear echo sound on a hotter day?",Physics,,,,,,,Other,Unknown,1054,1,63,201,Medium,mechanics
"A ball with momentum \( 0.5 k g m s^{-1} \) coming towards a batsman is hit by him such that it goes on the same path in opposite direction with momentum \( 0.3 k g m s^{-1} . \) If the time of contact of
the ball with the bat is \( 0.02 s \), find the
force on the ball by the bat.
A . \( 10 N \)
в. \( 40 N \)
\( c .75 N \)
D. 30 N",Physics,,,,,,,Mechanics,Medium,1062,9,53,74,Medium,mechanics
"A force of \( 400 N \) exerts a pressure of
\( 20 N / c m^{2} . \) What is the area on which
the force acts?
\( \mathbf{A} \cdot 20 m^{2} \)
B. \( 20 \mathrm{cm}^{2} \)
\( \mathrm{c} \cdot 1 \mathrm{cm}^{2} \)
D. \( 10 \mathrm{cm}^{2} \)",Physics,,,,,,,Mechanics,Medium,1026,9,93,290,Hard,kinematics
"A long solenoid of radius \( R \) carries a time (t)-dependent current \( \boldsymbol{I}(\boldsymbol{t})= \)
\( \boldsymbol{I}_{0} \boldsymbol{t}(\mathbf{1}-\boldsymbol{t}) \cdot \mathbf{A} \) ring of radius \( 2 \boldsymbol{R} \) is placed
coaxially near its middle. During the
time interval \( 0 \leq t \leq 1, \) the induced
current \( \left(I_{R}\right) \) and the induced
\( \boldsymbol{E} \boldsymbol{M} \boldsymbol{F}\left(\boldsymbol{V}_{\boldsymbol{R}}\right) \) in the ring change as:
\( \mathbf{A} \cdot \) At \( t=0.5 \) direction of \( I_{R} \) reverses and \( V_{R} \) is zero.
B. Direction if \( I_{R} \) remains unchanged and \( V_{R} \) is zero at \( t=0.25 \)
C . At \( t=0.25 \) direction of \( I_{R} \) reverses and \( V_{R} \) is maximum.
D. Direction of \( I_{R} \) remains unchanged and \( V_{R} \) is maximum at \( t=0.5 \)",Physics,,,,,,,Electricity,Hard,1077,1,98,264,Hard,kinematics
"In a series \( L, R, C \) circuit which is
connected to ac source, when resonance
is obtained then net impedance Z will
be:
A \( . Z=R \)
B. \( \quad Z=\omega L-\frac{1}{\omega C} \)
\( \mathbf{c} \cdot Z=\omega L \)
D. \( z=\frac{1}{w C} \)",Physics,,,,,,,Electricity,Hard,1069,9,32,108,Easy,electricity
"In a room where the temperature is
\( 30^{\circ} \mathrm{C}, \) a body cools from \( 61^{\circ} \mathrm{C} \) to \( 59^{\circ} \mathrm{C} \)
in 4 min. The time (in min) taken by the
body to cool from \( 51^{\circ} \mathrm{C} \) to \( 49^{\circ} \mathrm{C} \) will be:
A . 4
B. 6
c. 5
D.",Physics,,,,,,,Thermodynamics,Medium,1085,4,59,276,Medium,mechanics
"The escape velocity on a planet is \( \boldsymbol{v} . \) If the radius of the planet contracts to \( \frac{1}{4} \) of present value without any change in its mass, the escape velocity will be
A. halved
B. doubled
c. quadrupoled
D. becomes one fourth",Physics,"The escape velocity on a planet is \( \boldsymbol{v} . \) If the radius of the planet contracts to \( \frac{1}{4} \) of present value without any change in its mass, the escape velocity will be",halved,doubled,quadrupoled,becomes one fourth,,Kinematics,Easy,1028,6,87,197,Hard,thermodynamics
"A steel rod has a radius of \( 10 \mathrm{mm} \) and a
length of \( 1.0 \mathrm{m} . \) A force stretches it along its length and produces a strain of \( 0.16 \% . \) Young's modulus of the steel is \( 2.0 \times 10^{11} N / m^{2} . \) What is the
magnitude of the force stretching the rod?
A . \( 100 \mathrm{kN} \)
B. 314 k
c. \( 31.4 \mathrm{kN} \)
D. 200kN",Physics,,,,,,,Mechanics,Medium,1016,4,51,283,Medium,electricity
"Echo is due to
A. reflection of sound
B. refraction of sound
c. both reflection and refraction of sound
D. diffraction of sound",Physics,Echo is due to,reflection of sound,refraction of sound,both reflection and refraction of sound,diffraction of sound,,Optics,Easy,1074,10,83,135,Hard,kinematics
"The inability among the elderly to see nearby objects clearly because of the weaking of the ciliary muscles is called
A. far-sightedness
B. near-sightedness
c. presbyopia
D. astigmatism",Physics,The inability among the elderly to see nearby objects clearly because of the weaking of the ciliary muscles is called,far-sightedness,near-sightedness,presbyopia,astigmatism,,Other,Unknown,1028,2,68,76,Medium,mechanics
"Write \( T \) against true and \( F \) against false in the following statements:
(a) Like charges attract each other (T/F)
(b) A charged glass rod attract a charged plastic straw (T/F)
(c) Lightning conductor cannot protect a building from lightning (T/F)
(d) Earthquakes can be predicted in advance (T/F)",Physics,,,,,,,Optics,Easy,1023,6,63,140,Medium,mechanics
"For a horizontal rod of moment of inertia
I if a constant force \( F \) acts on the rod at
an angle \( \theta \) with the horizontal, the
torque equation for the rod will be (NOTE: The rod is lying on a floor horizontally)
A \( \cdot I d^{2} \theta / d t^{2}=2 F L \theta \)
B . \( I d^{2} \theta / d t^{2}=F L \theta \)
\( \mathbf{c} \cdot I d^{2} \theta / d t^{2}=(F L / 2) \)
D. None of the above",Physics,,,,,,,Mechanics,Medium,1082,5,74,294,Hard,kinematics
