Questions,Subject,cleaned_question,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic,question,option_1,option_2,option_3,option_4,correct_answer
"A small ball is projected along the surface of a smooth inclined plane with
speed \( 10 m s^{-1} \) along the direction
shown at \( t=0 . \) The point of projection
is origin, \( z- \) axis is along vertical. The
acceleration due to gravity is \( 10 m s^{-2} \)
Column I lists the values of certain
parameters related to motion of ball
and Column II lists different time
instants Match appropriately.
\begin{tabular}{|l|l|l|l|}
\hline \multicolumn{2}{|c|} { Column I } & \multicolumn{2}{|c|} { Column II } \\
\hline i. & Distance from \( x \) -axis is \( 2.25 \mathrm{m} \) & a. & \( 0.5 \mathrm{s} \) \\
\hline ii. & Speed is minimum & b. & \( 1.0 \mathrm{s} \) \\
\hline iii. & Velocity makes angle \( 37^{\circ} \) with \( x \) -axis & c. & \( 1.5 \mathrm{s} \) \\
\hline & & d. & \( 2.0 \mathrm{s} \) \\
\hline
\end{tabular}",Physics,small ball projected along surface smooth inclined plane speed 10 s1 along direction shown t0 point projection origin axis along vertical acceleration due gravity 10 s2 column list value certain parameter related motion ball column ii list different time instant match appropriately begintabularllll hline multicolumn2c column multicolumn2c column ii hline distance axis 225 mathrmm 05 mathrms hline ii speed minimum 10 mathrms hline iii velocity make angle 37circ axis 15 mathrms hline 20 mathrms hline endtabular,Kinematics,Easy,1036,5,36,275,Easy,kinematics,,,,,,
"If \( \vec{A} \cdot \vec{B}=\vec{A} \times \vec{B}, \) then angle between \( \vec{A} \) and \( \vec{B} \) is
A . 45
B. 30
\( c \cdot 60^{\circ} \)
D. \( 90^{\circ} \)",Physics,veca cdot vecbveca time vecb angle veca vecb 45 30 cdot 60circ 90circ,Other,Unknown,1062,6,49,49,Medium,optics,,,,,,
"What quantity of heat would be given out by 200 gm of copper in cooling from
\( 80^{\circ} \mathrm{C} \) to \( 20^{\circ} \mathrm{C} \) (Specific heat of copper
\( \left.=\mathbf{0 . 0 9 c a l g}^{-1 o} \mathbf{C}^{-1}\right) ? \)
A. 1080 cal
B. 1000 cal
c. 1500 cal
D. 1100 cal",Physics,quantity heat would given 200 gm copper cooling 80circ mathrmc 20circ mathrmc specific heat copper leftmathbf0 g1 mathbfc1right 1080 cal 1000 cal 1500 cal 1100 cal,Thermodynamics,Medium,1001,9,100,32,Hard,kinematics,"What quantity of heat would be given out by 200 gm of copper in cooling from
\( 80^{\circ} \mathrm{C} \) to \( 20^{\circ} \mathrm{C} \) (Specific heat of copper
\( \left.=\mathbf{0 . 0 9 c a l g}^{-1 o} \mathbf{C}^{-1}\right) ? \)",1080 cal,1000 cal,1500 cal,1100 cal,
"A particle moves uniformly in a circle of radius \( 25 \mathrm{cm} \) at two revolution per
second. Find the acceleration of the
particle in \( \boldsymbol{m} / \boldsymbol{s}^{2} \)",Physics,particle move uniformly circle radius 25 mathrmcm two revolution per second find acceleration particle boldsymbolm boldsymbols2,Kinematics,Easy,1022,8,21,226,Easy,kinematics,,,,,,
"(a) A rod of length I is moved horizontally with a uniform velocity 'v' in a direction perpendicular to its length
through a region in which a uniform magnetic field is acting vertically downward. Derive the expression for the
emf induced across the ends of the rod.
(b) How does one understand this
motional emf by invoking the Lorentz force acting on the free charge carriers of the conductor? Explain.",Physics,rod length moved horizontally uniform velocity direction perpendicular length region uniform magnetic field acting vertically downward derive expression emf induced across end rod one understand motional emf invoking lorentz force acting free charge carrier conductor explain,Kinematics,Easy,1094,9,74,139,Hard,thermodynamics,,,,,,
"A wheel has moment of inertia
\( 10^{-2} k g-m^{2} \) and is making 10 rps. The
torque required to stop it in 5 secs is
A. 12.56
B. 9.42
\( c \cdot 6.28 \)
D. 3.14",Physics,wheel moment inertia 102 gm2 making 10 rps torque required stop sec 1256 942 cdot 628 314,Mechanics,Medium,1088,6,37,277,Easy,mechanics,,,,,,
"In which of the following work is being
done?
This question has multiple correct options
A. Man sitting on a bench
B. Person Standing with a basket of fruit on the head.
c. Climbing a tree to pluck
D. Pushing a wheelbarrow of bricks.",Physics,following work done question multiple correct option man sitting bench person standing basket fruit head climbing tree pluck pushing wheelbarrow brick,Mechanics,Medium,1053,2,66,101,Medium,mechanics,"In which of the following work is being
done?
This question has multiple correct options",Man sitting on a bench,Person Standing with a basket of fruit on the head.,Climbing a tree to pluck,Pushing a wheelbarrow of bricks.,
"Assertion
Sound waves cannot be polarised.
Reason
Sound waves are longitudinal in nature.
A. If both assertion and reason are true and reason is the correct explanation of assertion.
B. If both assertion and reason are true and reason is not
the correct explanation of assertion.
C. If assertion is true but reason is false.
D. If both assertion and reason are false.",Physics,assertion sound wave cannot polarised reason sound wave longitudinal nature assertion reason true reason correct explanation assertion assertion reason true reason correct explanation assertion assertion true reason false assertion reason false,Other,Unknown,1043,4,96,71,Hard,thermodynamics,,,,,,
"One end of a cylindrical glass rod \( (\mu= \)
1.5) is in the shape of a concave refracting surface of radius \( 10 \mathrm{cm} . \) An
air bubble is situated in the glass rod at a point on its axis such that it appears to be at distance \( 10 \mathrm{cm} \) from the
surface and inside the glass when seen from the other medium. The actual
location of air bubble is
A. \( 15 \mathrm{cm} \)
B. \( 20 \mathrm{cm} \)
c. \( 30 \mathrm{cm} \)
D. 25 cm",Physics,one end cylindrical glass rod mu 15 shape concave refracting surface radius 10 mathrmcm air bubble situated glass rod point axis appears distance 10 mathrmcm surface inside glass seen medium actual location air bubble 15 mathrmcm 20 mathrmcm 30 mathrmcm 25 cm,Other,Unknown,1022,1,100,202,Hard,thermodynamics,"One end of a cylindrical glass rod \( (\mu= \)
1.5) is in the shape of a concave refracting surface of radius \( 10 \mathrm{cm} . \) An
air bubble is situated in the glass rod at a point on its axis such that it appears to be at distance \( 10 \mathrm{cm} \) from the
surface and inside the glass when seen from the other medium. The actual
location of air bubble is",\( 15 \mathrm{cm} \),\( 20 \mathrm{cm} \),\( 30 \mathrm{cm} \),25 cm,
"Results of calculations for four different
designs of a fusion reactor using D-D reaction are given below.Which of these is most promising based on Lawson criterion?
A. deuteron density \( =2.0 \times 10^{12} \mathrm{cm}^{-3} \), confinement time \( =5.0 \times 10^{-3} \mathrm{s} \)
B. deuteron density \( =8.0 \times 10^{14} \mathrm{cm}^{-3} \), confinement time \( =9.0 \times 10^{-1} \mathrm{s} \)
C. deuteron density \( =4.0 \times 10^{23} \mathrm{cm}^{-3}, \) confinement time \( =1.0 \times 10^{-11} \mathrm{s} \)
D. deuteron density \( =1.0 \times 10^{24} \mathrm{cm}^{-3} \), confinement time
\[
=4.0 \times 10^{-12} \mathrm{s}
\]",Physics,result calculation four different design fusion reactor using dd reaction given belowwhich promising based lawson criterion deuteron density 20 time 1012 mathrmcm3 confinement time 50 time 103 mathrms deuteron density 80 time 1014 mathrmcm3 confinement time 90 time 101 mathrms deuteron density 40 time 1023 mathrmcm3 confinement time 10 time 1011 mathrms deuteron density 10 time 1024 mathrmcm3 confinement time 40 time 1012 mathrms,Other,Unknown,1044,6,68,69,Medium,mechanics,"Results of calculations for four different
designs of a fusion reactor using D-D reaction are given below.Which of these is most promising based on Lawson criterion?","deuteron density \( =2.0 \times 10^{12} \mathrm{cm}^{-3} \), confinement time \( =5.0 \times 10^{-3} \mathrm{s} \)","deuteron density \( =8.0 \times 10^{14} \mathrm{cm}^{-3} \), confinement time \( =9.0 \times 10^{-1} \mathrm{s} \)","deuteron density \( =4.0 \times 10^{23} \mathrm{cm}^{-3}, \) confinement time \( =1.0 \times 10^{-11} \mathrm{s} \)","deuteron density \( =1.0 \times 10^{24} \mathrm{cm}^{-3} \), confinement time
\[
=4.0 \times 10^{-12} \mathrm{s}
\]",
"Two point charges \( +q \) and \( -q \) are placed at a distance \( x \) apart. A third charge is placed in such a way so that all the three charges are in equilibrium.
Then :
A. unknown charge is \( -4 q / 9 \)
B. unknown charge is \( -9 q / 4 \)
c. it should be at \( (x / 3) \) from smaller charge between them
D. none of the above",Physics,two point charge placed distance apart third charge placed way three charge equilibrium unknown charge unknown charge smaller charge none,Electricity,Hard,1043,5,67,195,Medium,electricity,"Two point charges \( +q \) and \( -q \) are placed at a distance \( x \) apart. A third charge is placed in such a way so that all the three charges are in equilibrium.
Then :",unknown charge is \( -4 q / 9 \),unknown charge is \( -9 q / 4 \),it should be at \( (x / 3) \) from smaller charge between them,none of the above,
"A sound source is moving towards stationary listener with \( \frac{1}{10} \) th of the speed of sound. The ratio of apparent to real frequency is:
\( ^{\mathrm{A}} \cdot\left(\frac{9}{10}\right)^{2} \)
в. \( \frac{10}{9} \)
c. \( \frac{11}{10} \)
D \( \cdot\left(\frac{11}{10}\right)^{2} \)",Physics,sound source moving towards stationary listener frac110 th speed sound ratio apparent real frequency mathrma cdotleftfrac910right2 frac109 frac1110 cdotleftfrac1110right2,Other,Unknown,1093,1,43,200,Medium,electricity,,,,,,
"A ship moves along the equator to the
east with velocity \( v_{0}=30 k m / h . \) The
southeastern wind blows at an angle
\( \varphi=60^{\circ} \) to the equator with velocity
\( \boldsymbol{v}=\mathbf{1 5} \boldsymbol{k m} / \boldsymbol{h} . \) The angle \( \boldsymbol{\varphi}^{\prime} \) between the
equator and the wind direction in the
reference frame fixed to the ship is (in degrees)",Physics,ship move along equator east velocity v_030 southeastern wind blow angle varphi60circ equator velocity boldsymbolvmathbf1 boldsymbolk boldsymbolh angle boldsymbolvarphiprime equator wind direction reference frame fixed ship degree,Kinematics,Easy,1027,6,68,70,Medium,optics,,,,,,
"The magnification of plane mirror is always -
\( \mathbf{A} \cdot<1 \)
B \( .>1 \)
\( c .=1 \)
D. zero",Physics,magnification plane mirror always mathbfa cdot1 zero,Optics,Easy,1023,7,30,150,Easy,optics,,,,,,
"State whether the given statement is True or False :

Earthquakes occur all the time all over
the world.
A. True
B. False",Physics,state whether given statement true false earthquake occur time world true false,Other,Unknown,1018,5,24,150,Easy,other,,,,,,
"State whether given statement is True or False

Woollen yard is a bad conductor of heat.
A. True
B. False",Physics,state whether given statement true false woollen yard bad conductor heat true false,Thermodynamics,Medium,1013,2,82,124,Hard,thermodynamics,,,,,,
"The galvanometer deflection, when key
\( K_{1} \) is closed but \( K_{2} \) is open, equals \( \theta_{0} \)
(see figure). On closing \( K_{2} \) also and
adjusting \( R_{2} \) to5 \( \Omega, \) the deflection in
galvanometer becomes \( \frac{\theta_{0}}{5} \). The
resistance of the galvanometer is, then, given by [Neglect the internal resistance of battery \( ] \)
A . \( 12 \Omega \)
B . \( 25 \Omega \)
\( c .5 \Omega \)
D. \( 22 \Omega \)",Physics,galvanometer deflection key k_1 closed k_2 open equal theta_0 see figure closing k_2 also adjusting r_2 to5 omega deflection galvanometer becomes fractheta_05 resistance galvanometer given neglect internal resistance battery 12 omega 25 omega omega 22 omega,Electricity,Hard,1024,1,45,174,Medium,electricity,,,,,,
"A body executes S.H.M. under the action of a force \( \boldsymbol{F}_{1} \) with a time period \( \mathbf{4} / \mathbf{5} \)
seconds. If the force is changed to \( \boldsymbol{F}_{2}, \) it
executes S.H.M. with a time period \( 3 / 5 \)
seconds. If both the forces \( F_{1} \) and \( F_{2} \) act
simultaneously in the same direction on the body, then its time period in seconds is:
A . \( 12 / 25 \)
в. \( 24 / 25 \)
c. \( 25 / 24 \)
D. 25/12",Physics,body executes shm action force boldsymbolf_1 time period mathbf4 mathbf5 second force changed boldsymbolf_2 executes shm time period second force f_1 f_2 act simultaneously direction body time period second 12 25 24 25 25 24 2512,Mechanics,Medium,1070,6,27,180,Easy,mechanics,,,,,,
"what is the velocity of a monkey running on the roof of the train \( A( \) moving with velocity \( 54 k h / h r) \) against its motion
with a velocity of \( 18 \mathrm{km} h^{-1} \) with respect
to the train \( A \) as observed by a man standing on the ground?
A \( \cdot 5 \mathrm{m} s^{-1} \)
B. \( 10 \mathrm{m} s^{-1} \)
c. \( 15 \mathrm{m} \mathrm{s}^{-1} \)
D. 20 \( \mathrm{m} \mathrm{s}^{-1} \)",Physics,velocity monkey running roof train moving velocity 54 motion velocity 18 mathrmkm h1 respect train observed man standing ground cdot mathrmm s1 10 mathrmm s1 15 mathrmm mathrms1 20 mathrmm mathrms1,Kinematics,Easy,1003,8,94,232,Hard,thermodynamics,,,,,,
"The \( _{\text {一一一一一一一 }} \) provides easy route for the transfer of \( _{-}-_{-}-_{-}- \) charges to the ground.
A. metallic rod, only positive
B. plastic rod, only negative
c. metallic rod, electric
D. plastic rod, electriç",Physics,_text 一一一一一一一 provides easy route transfer ___ charge ground metallic rod positive plastic rod negative metallic rod electric plastic rod electriç,Electricity,Hard,1047,3,82,65,Hard,thermodynamics,The \( _{\text {一一一一一一一 }} \) provides easy route for the transfer of \( _{-}-_{-}-_{-}- \) charges to the ground.,"A. metallic rod, only positive","plastic rod, only negative","metallic rod, electric","plastic rod, electriç",
"The natural frequency of the circuit shown in fig. is
A \( \frac{1}{\sqrt{L C}} \)
B. \( \frac{1}{2 \sqrt{L C}} \)
c. \( \frac{2}{\sqrt{L C}} \)
D. none of these",Physics,natural frequency circuit shown fig frac1sqrtl frac12 sqrtl frac2sqrtl none,Electricity,Hard,1087,5,43,99,Medium,mechanics,,,,,,
"A current in a 240 turn solenoid varies
at \( 0.8 A / s . \) Find emf induced if the
length of the solenoid is \( 12 \mathrm{cm} \) and
radius \( 2 c m \)
A \( \cdot 6.14 \times 10^{-4} V \)
в. \( 6.4 \times 10^{-3} V \)
\( \mathrm{c} .3 .07 \times 10^{-3} \mathrm{V} \)
D. \( 3.07 \times 10^{-4} V \)",Physics,current 240 turn solenoid varies 08 find emf induced length solenoid 12 mathrmcm radius cdot 614 time 104 64 time 103 mathrmc 07 time 103 mathrmv 307 time 104,Electricity,Hard,1059,1,66,230,Medium,optics,,,,,,
"If a new planet is discovered rotating around sun with the orbital radius
double that of the earth, then what will
be its time period? (in earth's days)
A . 1032
B. 1023
\( c \cdot 1024 \)
D. 1043",Physics,new planet discovered rotating around sun orbital radius double earth time period earth day 1032 1023 cdot 1024 1043,Other,Unknown,1006,6,65,215,Medium,mechanics,,,,,,
"Ekectron microscope is based on the principle
A. Photoelectric effect
B. Wave nature of electron
c. superconductivity
D. Laws of electromagnetic induction",Physics,ekectron microscope based principle photoelectric effect wave nature electron superconductivity law electromagnetic induction,Modern Physics,Hard,1072,9,84,168,Hard,kinematics,Ekectron microscope is based on the principle,Photoelectric effect,Wave nature of electron,superconductivity,Laws of electromagnetic induction,
"Name a substance which, on heating, leaves behind no residue.
A. Methane gas
B. Ammonium nitrate
c. Camphor
D. All of the above",Physics,name substance heating leaf behind residue methane gas ammonium nitrate camphor,Thermodynamics,Medium,1049,9,52,270,Medium,optics,"Name a substance which, on heating, leaves behind no residue.",Methane gas,Ammonium nitrate,Camphor,All of the above,
"An LC circuit has \( L=5 \mathrm{mH} \) and \( \mathrm{C}=20 \mu \boldsymbol{F} \)
\( \boldsymbol{V}=\mathbf{5} \times \mathbf{1 0}^{-3} \) coswt is supplied. \( \boldsymbol{\omega} \) is
twice the resonant frequency. Find the maximum charge stored in the capacitor.
A. 66.6 nc
B. 11.3 nC
c. 23.2 nc
D. 33.3 nc",Physics,lc circuit l5 mathrmmh mathrmc20 mu boldsymbolf boldsymbolvmathbf5 time mathbf1 03 coswt supplied boldsymbolomega twice resonant frequency find maximum charge stored capacitor 666 nc 113 nc 232 nc 333 nc,Electricity,Hard,1077,3,53,158,Medium,mechanics,,,,,,
"Which of the following cannot be ferromagnetic?

This question has multiple correct options
A . alloys
B. solids
c. liquids
D. gases",Physics,following cannot ferromagnetic question multiple correct option alloy solid liquid gas,Thermodynamics,Medium,1031,1,85,228,Hard,thermodynamics,,,,,,
"Nikhil calculates the change in gravitational potential energy at a height of \( 5 \mathrm{km} \) from the surface of earth using the equation \( U=-G M m / r \) and Varun calculates this energy using the formula \( U= \) mgh. The energies
calculated have different numerical
values.
A . True
B. False",Physics,nikhil calculates change gravitational potential energy height mathrmkm surface earth using equation ug varun calculates energy using formula mgh energy calculated different numerical value true false,Mechanics,Medium,1071,8,49,255,Medium,electricity,,,,,,
"Moment of any force is equal to the algebraic sum of the components of that force. This is known as:
A. Principle of moments
B. Principle of combination
c. Law of inflution
D. All",Physics,moment force equal algebraic sum component force known principle moment principle combination law inflution,Mechanics,Medium,1080,3,41,297,Medium,electricity,Moment of any force is equal to the algebraic sum of the components of that force. This is known as:,Principle of moments,Principle of combination,Law of inflution,All,
"Rutherford's scattering experiment is related to the size of the:
A. nucleus
B. atom
c. electron
D. neutron",Physics,rutherford scattering experiment related size nucleus atom electron neutron,Modern Physics,Hard,1092,4,45,299,Medium,optics,Rutherford's scattering experiment is related to the size of the:,nucleus,atom,electron,neutron,
"A beam of unpolarized light is passed
first through a tourmaline crystal \( \boldsymbol{A} \) and
then through another tourmaline
crystal \( B \) oriented so that its principal
plane is parallel to that of \( A \). The
intensity of final emergent light is \( I \). If
\( A \) is rotated by \( 45^{0} \) on a plane,
perpendicular to the direction of incident ray, then intensity of emergent light will be
A \( \cdot \frac{I}{8} \)
в. \( \frac{I}{4} \)
c. \( \frac{I}{2} \)
D. none of these",Physics,beam unpolarized light passed first tourmaline crystal boldsymbola another tourmaline crystal oriented principal plane parallel intensity final emergent light rotated 450 plane perpendicular direction incident ray intensity emergent light cdot fraci8 fraci4 fraci2 none,Optics,Easy,1044,9,58,30,Medium,optics,,,,,,
"Write the two examples of acceptor
impurities",Physics,write two example acceptor impurity,Other,Unknown,1011,4,78,299,Hard,thermodynamics,,,,,,
"Which of the following is not a characteristic of the standard unit?
A. It should be of convenient size
B. It should change with respect to space and time
c. It should not be perishable
D. It should be eerily reproducible",Physics,following characteristic standard unit convenient size change respect space time perishable eerily reproducible,Other,Unknown,1058,3,96,298,Hard,kinematics,Which of the following is not a characteristic of the standard unit?,It should be of convenient size,It should change with respect to space and time,It should not be perishable,It should be eerily reproducible,
"Name and define unit for electric
current",Physics,name define unit electric current,Electricity,Hard,1080,5,62,257,Medium,mechanics,,,,,,
"A Centigrade and Fahrenheit thermometers are dipped in boiling water. The water temperature is lowered until the Fahrenhit thermometer
registers \( 140 . \) The fall in temperature as registered by centigrade thermometer
is
\( A \cdot 30 \)
B . 40
\( c \cdot 60 \)
D. \( 80^{\circ} \)",Physics,centigrade fahrenheit thermometer dipped boiling water water temperature lowered fahrenhit thermometer register 140 fall temperature registered centigrade thermometer cdot 30 40 cdot 60 80circ,Thermodynamics,Medium,1010,2,77,137,Hard,thermodynamics,,,,,,
"A metallic shpere of radius \( 1.0 \times \) \( 10^{-3} m \) and density \( 1.0 \times 10^{4} k g / m^{3} \)
enters a tank of water after a free fall,
falling through a distance of h in the earth's gravitational field. If its velocity remains unchanged after entering water, determine the value of \( h \)
[Given : coefficient of viscosity of water
\( =1.0 \times 10^{-3} N-s / m^{2}, g=10 m / s^{2} \)
and density of water \( \left.=1.0 \times 10^{3} k g / m^{3}\right] \)
A. 20 \( m \)
B. 40 \( m \)
\( c \cdot 80 m \)
D. \( 10 \mathrm{m} \)",Physics,metallic shpere radius 10 time 103 density 10 time 104 m3 enters tank water free fall falling distance earth gravitational field velocity remains unchanged entering water determine value given coefficient viscosity water 10 time 103 n m2 g10 s2 density water left10 time 103 m3right 20 40 cdot 80 10 mathrmm,Kinematics,Easy,1043,7,84,198,Hard,thermodynamics,"A metallic shpere of radius \( 1.0 \times \) \( 10^{-3} m \) and density \( 1.0 \times 10^{4} k g / m^{3} \)
enters a tank of water after a free fall,
falling through a distance of h in the earth's gravitational field. If its velocity remains unchanged after entering water, determine the value of \( h \)
[Given : coefficient of viscosity of water
\( =1.0 \times 10^{-3} N-s / m^{2}, g=10 m / s^{2} \)
and density of water \( \left.=1.0 \times 10^{3} k g / m^{3}\right] \)","If its velocity remains unchanged after entering water, determine the value of \( h \)
[Given : coefficient of viscosity of water
\( =1.0 \times 10^{-3} N-s / m^{2}, g=10 m / s^{2} \)
and density of water \( \left.=1.0 \times 10^{3} k g / m^{3}\right] \)",20 \( m \),"40 \( m \)
\( c \cdot 80 m \)",\( 10 \mathrm{m} \),
"There is no atmosphere on moon. Therefore,
A. no sound can be heard
B. sound can be easily heard
c. sound is sometimes heard
D. all the above statements are correct",Physics,atmosphere moon therefore sound heard sound easily heard sound sometimes heard statement correct,Other,Unknown,1019,5,85,42,Hard,thermodynamics,"There is no atmosphere on moon. Therefore,",no sound can be heard,sound can be easily heard,sound is sometimes heard,all the above statements are correct,
"A person standing symmetrically between two cliffs claps his hands and starts hearing series of echoes at intervals of 1 sec. If speed of sound in air is \( 340 \mathrm{m} / \mathrm{s} \), the distance between the parallel cliff must be
A. 340 \( m \)
B. 680 \( m \)
c. \( 1020 \mathrm{m} \)
D. \( 170 \mathrm{m} \)",Physics,person standing symmetrically two cliff clap hand start hearing series echo interval sec speed sound air 340 mathrmm mathrms distance parallel cliff must 340 680 1020 mathrmm 170 mathrmm,Other,Unknown,1006,5,63,211,Medium,optics,,,,,,
"The part of the electromagnetic spectrum which is suitable for radar systems used in aircraft navigation:
A. X-Rays
B. Gamma Rays
c. Microwaves or short radiowaves
D. Ultraviolet",Physics,part electromagnetic spectrum suitable radar system used aircraft navigation xrays gamma ray microwave short radiowaves ultraviolet,Other,Unknown,1092,4,70,221,Hard,kinematics,The part of the electromagnetic spectrum which is suitable for radar systems used in aircraft navigation:,X-Rays,Gamma Rays,Microwaves or short radiowaves,Ultraviolet,
"A ball is thrown up at a speed of \( 4 \mathrm{m} / \mathrm{s} \) with constant acceleration. Find the
maximum height reached by the ball. Take \( g=10 m s^{-2} \)
A. \( 0.4 \mathrm{m} \)
B. \( 0.8 \mathrm{m} \)
c. \( 1.0 \mathrm{m} \)
D. 1.4 \( m \)",Physics,ball thrown speed mathrmm mathrms constant acceleration find maximum height reached ball take g10 s2 04 mathrmm 08 mathrmm 10 mathrmm 14,Kinematics,Easy,1074,3,28,51,Easy,kinematics,"A ball is thrown up at a speed of \( 4 \mathrm{m} / \mathrm{s} \) with constant acceleration. Find the
maximum height reached by the ball. Take \( g=10 m s^{-2} \)",\( 0.4 \mathrm{m} \),\( 0.8 \mathrm{m} \),\( 1.0 \mathrm{m} \),1.4 \( m \),
"a body moving with a uniform accleration crosses a distance \( 15 m \) in
the second and 23 m second. The
displacement in 10 s will be.",Physics,body moving uniform accleration cross distance 15 second 23 second displacement 10,Kinematics,Easy,1011,1,50,30,Medium,mechanics,,,,,,
"A straight conductor of uniform cross-
section carries a current, \( I \). If \( ^{\prime} s^{\prime} \) is the
specific charge of an electron, the momentum of all the free electrons per unit length of the conductor, due to their drift velocity only, is
A . Is
в. \( \sqrt{\frac{I}{s}} \)
c. \( \frac{1}{s} \)
\( \left(\frac{I}{s}\right)^{2} \)",Physics,straight conductor uniform cross section carry current prime sprime specific charge electron momentum free electron per unit length conductor due drift velocity sqrtfracis frac1s leftfracisright2,Kinematics,Easy,1050,8,87,33,Hard,kinematics,,,,,,
"The velocity-time graph of a particle moving in a straight line is shown in
figure. The acceleration of the particle
at \( t=9 \) s is
A. zero
B \( \cdot 5 m / s^{2} \)
\( \mathrm{c} \cdot-5 m / s^{2} \)
D. \( -2 m / s^{2} \)",Physics,velocitytime graph particle moving straight line shown figure acceleration particle t9 zero cdot s2 mathrmc cdot5 s2 s2,Kinematics,Easy,1022,6,28,278,Easy,kinematics,,,,,,
"In which of the following products are
obtained from fossil fuels?
This question has multiple correct options
A . coal
B. Coke
c. coal tar
D. coal gas",Physics,following product obtained fossil fuel question multiple correct option coal coke coal tar coal gas,Thermodynamics,Medium,1029,10,26,294,Easy,thermodynamics,,,,,,
"Two particles of masses m and \( 2 \mathrm{m} \)
on an object are connected by a spring,
then with respect to the object's frame
of reference
A. the two particles are considered as rigid body, if the object moves with uniform velocity
B. the two particles are considered as rigid body, if the object moves with uniform acceleration
C. the two particles are considered as rigid body, if the object moves with uniform speed
D. the two particles are cannot be a rigid body, since deformation in the spring can bring about a change in the positions of the particles",Physics,two particle mass mathrmm object connected spring respect object frame reference two particle considered rigid body object move uniform velocity two particle considered rigid body object move uniform acceleration two particle considered rigid body object move uniform speed two particle cannot rigid body since deformation spring bring change position particle,Kinematics,Easy,1066,1,97,76,Hard,thermodynamics,"Two particles of masses m and \( 2 \mathrm{m} \)
on an object are connected by a spring,
then with respect to the object's frame
of reference","the two particles are considered as rigid body, if the object moves with uniform velocity","the two particles are considered as rigid body, if the object moves with uniform acceleration","the two particles are considered as rigid body, if the object moves with uniform speed","the two particles are cannot be a rigid body, since deformation in the spring can bring about a change in the positions of the particles",
"Two vessels \( A \) and \( B \) of different shapes
have the same base area and are filled
with water up to the same height h (see figure). The force exerted by water on
the base is \( F_{A} \) for vessel \( A \) and \( F_{B} \) for
vessel B. The respective weights of the
water filled in vessels are \( W_{A} \) and \( W_{B} \)
Then
\( \mathbf{A} \cdot F_{A}>F_{B} ; W_{A}>W_{B} \)
B . \( F_{A}=F_{B} ; W_{A}>W_{B} \)
C \( \cdot F_{A}=F_{B} ; W_{A}<W_{B} \)
D. \( F_{A}>F_{B} ; W_{A}=W_{B} \)",Physics,two vessel different shape base area filled water height see figure force exerted water base f_a vessel f_b vessel respective weight water filled vessel w_a w_b mathbfa cdot f_af_b w_aw_b f_af_b w_aw_b cdot f_af_b w_aw_b f_af_b w_aw_b,Mechanics,Medium,1010,7,62,121,Medium,mechanics,,,,,,
"If force, acceleration and time are taken
as fundamental quantities, then the dimensions of length will be
A. \( F T^{2} \)
B . \( F^{-1} A^{2} T^{-1} \)
c. \( F A^{2} T \)
D. \( A T^{2} \)",Physics,force acceleration time taken fundamental quantity dimension length t2 f1 a2 t1 a2 t2,Kinematics,Easy,1036,1,34,153,Easy,kinematics,,,,,,
"\( p-\frac{1}{v} \) graph for a gas under constant
temperature is
A. Straight line
B. Circle
c. hyperbola
D. parabola",Physics,pfrac1v graph gas constant temperature straight line circle hyperbola parabola,Kinematics,Easy,1073,9,72,42,Hard,kinematics,"\( p-\frac{1}{v} \) graph for a gas under constant
temperature is",Straight line,Circle,hyperbola,parabola,
"The condition for constructive
interference is path difference should
be equal to :
A. odd integral multiple of wavelength
B. Integral multiple of wavelength
c. odd integral multiple of half wavelength
D. Integral multiple of half wavelength",Physics,condition constructive interference path difference equal odd integral multiple wavelength integral multiple wavelength odd integral multiple half wavelength integral multiple half wavelength,Other,Unknown,1075,8,86,202,Hard,thermodynamics,"The condition for constructive
interference is path difference should
be equal to :",odd integral multiple of wavelength,Integral multiple of wavelength,odd integral multiple of half wavelength,Integral multiple of half wavelength,
"velocity-time graph of a particle of mass 2 kg moving in a straight line is
as shown in Fig. \( 6.19 . \) Find the work done by all the forces acting on the particle.
A . -200
B. -400
c. -600
D . -700 J",Physics,velocitytime graph particle mass kg moving straight line shown fig 619 find work done force acting particle 200 400 600 700,Kinematics,Easy,1012,2,96,72,Hard,kinematics,,,,,,
Define phase of \( \boldsymbol{S} . \boldsymbol{H} . \boldsymbol{M} \) ?,Physics,define phase boldsymbols boldsymbolh boldsymbolm,Other,Unknown,1006,2,72,286,Hard,thermodynamics,,,,,,
"Negative electric flux indicates that electric lines of force are directed
A. outwards
B. inwards
c. either (a) or (b)
D. none of these",Physics,negative electric flux indicates electric line force directed outwards inwards either none,Mechanics,Medium,1003,8,79,173,Hard,kinematics,Negative electric flux indicates that electric lines of force are directed,outwards,inwards,either (a) or (b),none of these,
"A hoop rolls without slipping on a horizontal ground having centre of
mass speed \( v_{0} . \) The speed of a particle \( P \) on the circumference of the hoop at
angle \( \boldsymbol{\theta} \) is?",Physics,hoop roll without slipping horizontal ground centre mass speed v_0 speed particle circumference hoop angle boldsymboltheta,Mechanics,Medium,1065,7,85,250,Hard,kinematics,,,,,,
